campaign_id,campaign_name,platform,post_type,post_date,post_time,content_theme,target_audience,boosted_post,spend_usd,reach,impressions,engagements,clicks,conversions,conversion_value_usd,cpc_usd,ctr,engagement_rate,hashtag_count,emoji_count,word_count,sentiment_score,video_length_seconds
CMP1000,Summer Campaign 2025,TikTok,Story,1/8/2024,13:45,Promotion,"Gen Z (18-24, Urban)",FALSE,8.46,4007,5261,354,156,25,503.43,0.05,0.0297,0.0883,9,2,18,0.12,37
CMP1000,Back to School Campaign 2024,X,Video,1/3/2024,19:30,Behind-the-Scenes,"Parents (30-45, Suburban)",TRUE,7.07,3591,5194,115,51,5,249.5,0.14,0.0098,0.032,2,0,12,-0.16,22
CMP1000,Spring Campaign 2025,LinkedIn,Story,1/20/2024,9:30,User Testimonial,"Gen Z (18-24, Urban)",TRUE,40.6,10152,12380,1170,372,56,2138.28,0.11,0.03,0.1152,13,5,16,0.3,113
CMP1000,Summer Campaign 2024,Facebook,Image,1/14/2024,11:00,User Testimonial,"Gen X (35-50, Mixed)",TRUE,5.23,2750,3146,321,174,19,1360.52,0.03,0.0553,0.1167,1,9,45,-0.39,0
CMP1000,Spring Campaign 2025,Instagram,Video,1/4/2024,11:00,Behind-the-Scenes,"Millennials (25-34, Suburban)",FALSE,5.38,2105,3115,146,76,10,1312.49,0.07,0.0244,0.0694,13,2,40,-0.11,119
CMP1000,Back to School Campaign 2025,Facebook,Image,1/9/2024,6:15,Behind-the-Scenes,"Gen X (35-50, Mixed)",FALSE,4.57,3787,4951,384,211,41,3670.79,0.02,0.0426,0.1014,12,7,34,-0.1,0
CMP1000,Fall Campaign 2024,TikTok,Carousel,1/7/2024,12:45,Promotion,"Parents (30-45, Suburban)",TRUE,37.41,7063,9143,627,272,35,415.09,0.14,0.0297,0.0888,12,7,48,-0.35,0
CMP1000,Summer Campaign 2024,X,Image,1/13/2024,23:00,Product Launch,"Millennials (25-34, Suburban)",TRUE,0.03,334,420,10,6,0,0,0.01,0.0143,0.0299,13,2,36,0.68,0
CMP1000,Summer Campaign 2025,Instagram,Story,1/17/2024,22:15,Lifestyle,"Millennials (25-34, Suburban)",TRUE,23.07,6378,8224,631,237,13,419.13,0.1,0.0288,0.0989,6,5,26,0.28,102
CMP1000,Spring Campaign 2025,Facebook,Carousel,1/20/2024,12:00,Product Launch,"Parents (30-45, Suburban)",FALSE,2.02,2750,3457,258,140,10,1315.56,0.01,0.0405,0.0938,2,2,36,-0.58,0
CMP1000,Back to School Campaign 2024,LinkedIn,Image,1/28/2024,22:00,Product Launch,"Professionals (25-54, B2B)",FALSE,4.69,3245,5219,249,133,18,2329.08,0.04,0.0255,0.0767,8,10,42,0.72,0
CMP1000,Back to School Campaign 2025,TikTok,Reel,1/24/2024,16:30,Product Launch,"Gen Z (18-24, Urban)",TRUE,19.89,3973,5437,120,39,2,293,0.51,0.0072,0.0302,9,8,38,0.62,18
CMP1000,Back to School Campaign 2025,X,Video,1/7/2024,18:45,Lifestyle,"Gen X (35-50, Mixed)",FALSE,6.32,4209,5297,98,47,3,349.47,0.13,0.0089,0.0233,3,6,30,0.7,30
CMP1000,Holiday Campaign 2024,Instagram,Story,1/23/2024,19:45,User Testimonial,"Professionals (25-54, B2B)",TRUE,16.12,5786,9553,298,174,28,2881.2,0.09,0.0182,0.0515,13,6,33,0.1,82
CMP1000,Holiday Campaign 2024,LinkedIn,Carousel,1/25/2024,19:45,Promotion,"Professionals (25-54, B2B)",TRUE,49.83,4114,6580,109,54,8,178.81,0.92,0.0082,0.0265,9,9,34,1,0
CMP1000,Summer Campaign 2024,TikTok,Story,1/6/2024,21:00,Promotion,"Parents (30-45, Suburban)",FALSE,5.42,868,1190,54,35,6,364.22,0.15,0.0294,0.0622,6,10,47,-0.75,25
CMP1000,Back to School Campaign 2025,Instagram,Carousel,1/9/2024,15:30,Lifestyle,"Gen X (35-50, Mixed)",TRUE,49.62,7195,8852,546,196,34,744.54,0.25,0.0221,0.0759,14,6,23,0.14,0
CMP1000,Summer Campaign 2025,Instagram,Image,1/21/2024,16:45,User Testimonial,"Millennials (25-34, Suburban)",TRUE,34.66,4676,5367,185,91,9,1015.84,0.38,0.017,0.0396,14,8,33,-0.26,0
CMP1000,Back to School Campaign 2024,Instagram,Story,1/9/2024,23:00,Behind-the-Scenes,"Millennials (25-34, Suburban)",TRUE,6.65,4147,5116,361,195,34,3917.52,0.03,0.0381,0.0871,8,4,42,0.5,90
CMP1000,Holiday Campaign 2025,X,Carousel,1/15/2024,21:15,Promotion,"Parents (30-45, Suburban)",TRUE,69.03,10125,12125,1079,552,63,2235.83,0.13,0.0455,0.1066,3,7,22,-0.05,0
CMP1000,Summer Campaign 2025,LinkedIn,Image,1/16/2024,22:30,Lifestyle,"Professionals (25-54, B2B)",TRUE,4.32,6118,9804,488,222,28,1042.41,0.02,0.0226,0.0798,8,7,40,-0.29,0
CMP1000,Spring Campaign 2025,LinkedIn,Image,1/20/2024,20:15,User Testimonial,"Parents (30-45, Suburban)",FALSE,0.49,1746,1991,39,13,0,0,0.04,0.0065,0.0223,2,1,43,0.45,0
CMP1000,Spring Campaign 2025,Facebook,Story,1/6/2024,12:45,Lifestyle,"Gen X (35-50, Mixed)",FALSE,5.16,5453,8742,576,322,58,2787.59,0.02,0.0368,0.1056,8,5,30,1,10
CMP1000,Spring Campaign 2024,Facebook,Carousel,1/1/2024,10:15,User Testimonial,"Gen X (35-50, Mixed)",TRUE,10.17,3719,4680,195,123,17,1988.83,0.08,0.0263,0.0524,5,0,44,0.17,0
CMP1000,Spring Campaign 2025,X,Reel,1/6/2024,19:45,Promotion,"Millennials (25-34, Suburban)",TRUE,100.4,8638,10401,685,211,38,4123.94,0.48,0.0203,0.0793,0,5,5,-0.02,40
CMP1000,Back to School Campaign 2024,X,Video,1/22/2024,8:30,Behind-the-Scenes,"Gen Z (18-24, Urban)",TRUE,103.68,8126,10879,564,357,43,4258.53,0.29,0.0328,0.0694,15,1,47,0.89,65
CMP1000,Spring Campaign 2025,Facebook,Carousel,1/10/2024,11:45,User Testimonial,"Millennials (25-34, Suburban)",TRUE,31.65,4933,7644,368,202,13,1556.02,0.16,0.0264,0.0746,10,0,19,0.42,0
CMP1000,Summer Campaign 2024,TikTok,Carousel,1/11/2024,8:45,Lifestyle,"Parents (30-45, Suburban)",TRUE,5.59,4581,6496,476,307,50,4348.67,0.02,0.0473,0.1039,13,10,43,-1,0
CMP1000,Back to School Campaign 2024,LinkedIn,Carousel,1/23/2024,8:15,Product Launch,"Parents (30-45, Suburban)",TRUE,15.27,4257,5508,162,93,10,1352.77,0.16,0.0169,0.0381,0,8,24,0.49,0
CMP1000,Fall Campaign 2025,TikTok,Carousel,1/15/2024,21:30,Product Launch,"Professionals (25-54, B2B)",TRUE,19.12,6670,8173,210,105,5,429.79,0.18,0.0128,0.0315,8,6,6,0.49,0
CMP1000,Fall Campaign 2025,Facebook,Story,1/10/2024,19:30,Behind-the-Scenes,"Parents (30-45, Suburban)",FALSE,1.37,1329,2122,121,68,10,198.82,0.02,0.032,0.091,0,5,15,0.26,11
CMP1000,Fall Campaign 2025,LinkedIn,Carousel,1/22/2024,15:45,Lifestyle,"Millennials (25-34, Suburban)",TRUE,20.07,2275,2977,76,41,3,119.94,0.49,0.0138,0.0334,6,4,9,0.06,0
CMP1000,Summer Campaign 2024,TikTok,Story,1/19/2024,18:30,User Testimonial,"Gen X (35-50, Mixed)",TRUE,12.3,2462,3658,157,71,10,786.16,0.17,0.0194,0.0638,13,7,23,0.15,118
CMP1000,Summer Campaign 2024,X,Carousel,1/20/2024,19:30,Behind-the-Scenes,"Millennials (25-34, Suburban)",TRUE,56.06,5733,6952,407,139,21,2162.25,0.4,0.02,0.071,7,10,49,-0.14,0
CMP1000,Fall Campaign 2024,Instagram,Reel,1/10/2024,9:30,User Testimonial,"Professionals (25-54, B2B)",FALSE,2.5,7495,8347,602,285,34,930.63,0.01,0.0341,0.0803,11,8,49,-0.44,42
CMP1000,Back to School Campaign 2025,Instagram,Carousel,1/9/2024,19:30,Promotion,"Gen Z (18-24, Urban)",FALSE,9.85,2897,3323,332,195,31,896.4,0.05,0.0587,0.1146,9,2,11,0.23,0
CMP1000,Summer Campaign 2024,LinkedIn,Carousel,1/27/2024,7:30,Product Launch,"Gen Z (18-24, Urban)",FALSE,6.02,6175,8250,687,232,15,1102.66,0.03,0.0281,0.1113,10,10,12,1,0
CMP1000,Back to School Campaign 2025,X,Image,1/11/2024,15:30,Lifestyle,"Parents (30-45, Suburban)",TRUE,18.89,4559,6102,162,53,7,157.65,0.36,0.0087,0.0355,15,4,39,-0.2,0
